GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
woman/female	1	2105	FEMALE PERSON	2
man/male	2	2261	MALE (OF PERSON)	2
two	3	1498	TWO	2
fifty	4	1717	FIFTY	2
hand	5	1277	HAND	2
foot, leg	6	2098	FOOT OR LEG	2
three	7	492	THREE	2
lightning	8	1654	LIGHTNING	2
six	9	1703	SIX	2
five	10	493	FIVE	2
seven	11	1704	SEVEN	2
eight	12	1705	EIGHT	2
nine	13	1483	NINE	2
hundred	14	1634	HUNDRED	2
chest	15	1592	CHEST	2
father	16	1217	FATHER	2
four	17	1500	FOUR	2
one	18	1493	ONE	2
eye	19	1248	EYE	2
sun	20	1343	SUN	2
you (sg.)	21	1213	YOU	2
wind	22	960	WIND	2
he/she	23	2642	HE OR SHE	2
walk along the beach	24	2979	WALK (MANNER)	
rain	25	2108	RAINING OR RAIN	2
eat	26	1336	EAT	2
nose	27	1221	NOSE	2
child	28	2099	CHILD	2
daughter	29	1357	DAUGHTER	2
son	30	1620	SON	2
stand	31	1442	STAND	2
drink	32	1401	DRINK	2
die	33	1494	DIE	2
mother	34	1216	MOTHER	2
walk	35	1443	WALK	2
twenty	36	1710	TWENTY	2
fish (n.)	37	227	FISH	1
red	38	156	RED	2
ear	39	1247	EAR	2
light (not heavy)	40	1052	LIGHT (WEIGHT)	2
not	41	1240	NOT	2
yellow	42	1424	YELLOW	2
blue	43	837	BLUE	2
itch	44	3856	ITCH OR ITCHY OR ITCHING	2
live (v.)	45	1422	BE ALIVE	1
belly	46	1251	BELLY	2
white	47	1335	WHITE	2
thunder	48	1150	THUNDER	2
water	49	948	WATER	2
boat	50	1844	BOAT	2
finger	51	1303	FINGER	2
sweet	52	717	SWEET	2
moon	53	1313	MOON	2
old	54	1229	OLD	2
laugh	55	1355	LAUGH	2
heavy	56	1210	HEAVY	2
fire	57	221	FIRE	2
yes	58	1268	YES	2
mouth	59	674	MOUTH	2
steal	60	713	STEAL	2
do/make	61	2575	DO OR MAKE	2
speak	62	1623	SPEAK	2
buy	63	1869	BUY	2
stone	64	857	STONE	2
sleep	65	1585	SLEEP	2
kill	66	1417	KILL	2
star	67	1430	STAR	2
see	68	1409	SEE	2
hair	69	1040	HAIR	2
snake	70	730	SNAKE	2
person	71	683	PERSON	2
ten	72	1515	TEN	2
fifteen	73	1709	FIFTEEN	2
I	74	1209	I	2
house	75	1252	HOUSE	2
head	76	1256	HEAD	2
above	77	1741	ABOVE	2
abscess	78	793	BOIL (OF SKIN)	4
abundant	79	712	RICH	4
accident	80			
across	81	2670	ACROSS	2
adopt a child	82			
adze	83	290	ADZE	2
afraid	84	1419	FEAR (BE AFRAID)	2
after	85	1685	AFTER	2
afterlife	86			
afternoon	87	1807	AFTERNOON	2
again	88	204	AGAIN	2
agile	89			
air	90	27	AIR	2
all	91	98	ALL	2
allow	92	3238	ALLOW	2
ally	93			
almost	94			
almost faint	95	3616	FAINT (PASS OUT)	
almost invisible	96			
already	97	2576	ALREADY	2
always	98	1676	ALWAYS	2
ambush	99	65	AMBUSH	2
ancestor	100	1669	ANCESTORS	2
anchor (n.)	101	1870	ANCHOR	3
anchor (v.)	102	1870	ANCHOR	4
anchored	103			
and	104	1577	AND	2
angry	105	1826	ANGRY	2
ankle	106	803	ANKLE	2
annoy	107	2892	MAKE ANGRY (ANNOY)	2
answer (n.)	108	1275	ANSWER	4
answer (v.)	109	1275	ANSWER	1
ant	110	587	ANT	2
areca palm	111			
argue	112	3302	QUARREL (VERB)	2
arm	113	1673	ARM	2
arm bone	114	1394	BONE	
armpit	115	1886	ARMPIT	2
around	116	1443	WALK	4
arrange	117	1568	ARRANGE	2
arrived	118	1387	ARRIVE	
arrow	119	977	ARROW	2
as for ...	120			
ascend	121	705	GO UP (ASCEND)	2
ash	122	646	ASH	2
ask	123	1309	ASK (INQUIRE)	2
ask for	124	1828	ASK (REQUEST)	2
astonished	125	1572	SURPRISED	2
astrigent	126			
attic	127			
auger	128	3423	DRILL	4
aunt	129	1272	AUNT	2
aunt/uncle	130			4
awaken	131	3174	WAKE UP (SOMEONE)	2
axe	132	677	AXE	2
back (a.)	133	2323	BACK (PART)	4
back (n.)	134	1291	BACK	1
bad	135	1292	BAD	2
bait	136	2013	BAIT	2
bald	137	1125	BALD	2
bamboo	138	1927	BAMBOO	2
bamboo sprout	139			
banana	140	868	BANANA	2
banana leaves (dead)	141			
bark (n.)	142	1204	BARK	1
bark (v.)	143	1206	BARKING	3
basket	144	1539	BASKET	2
bat	145	1793	BAT	2
bath(room)	146	138	BATHE	4
bathe	147	138	BATHE	2
bay	148	663	BAY	2
be careful	149	2758	CAREFUL	4
be hit	150			4
be likeable	151			
be/there is	152	1579	BE	4
beach	153	3460	BEACH	2
bear	154	1820	BEAR	2
beard	155	678	BEARD	2
beard (long)	156	678	BEARD	4
beautiful	157	1427	BEAUTIFUL	2
because	158	1157	BECAUSE	2
become	159	1990	BECOME	2
bed	160	1663	BED	2
bedroom	161	2505	BEDROOM	2
bee	162	665	BEE	2
beetle	163	2242	BEETLE	2
before	164	1882	BEFORE	2
before (earlier)	165	373	LONG AGO	4
before (long time)	166	373	LONG AGO	4
begin (v.)	167	1806	BEGIN	3
behave	168			
behind	169	1686	BEHIND	2
believe	170	1890	BELIEVE	2
below	171	1485	BELOW OR UNDER	2
belt	172	772	BELT	2
Bengkulu	173			
betel leaf (Piper betle)	174			
better	175			
beware	176	2758	CAREFUL	
beyond Enggano	177			
big	178	1202	BIG	2
big toe	179	1389	TOE	
bird	180	937	BIRD	2
bird-catching net	181	2653	NET (FOR CATCHING)	
birth	182	2805	BIRTH (ACCOUCHEMENT)	2
bite	183	1403	BITE	2
bitter	184	887	BITTER	2
black	185	163	BLACK	2
black pepper	186	1385	PEPPER	
blanket	187	806	BLANKET	2
blessing	188	391	BLESS	
blind	189	1653	BLIND	2
blood	190	946	BLOOD	2
blow	191	176	BLOW (WITH MOUTH)	2
blunt	192	379	BLUNT	2
board (n.)	193	1227	BOARD	3
boat decoration (with leaves)	194	917	ORNAMENT	
body	195	1480	BODY	2
body hair	196	189	HAIR (BODY)	2
boil (intr.)	197	792	BOIL (OF LIQUID)	4
boil (n.)	198	793	BOIL (OF SKIN)	3
boil (tr.)	199	2492	BOIL (SOMETHING)	2
bolster	200			
bone	201	1394	BONE	2
border	202	2546	BORDER	2
bore a hole	203	1501	BORE	2
borrow	204	1823	BORROW	2
bow (n.)	205	994	BOW	1
bow down	206	2761	BEND (ONESELF)	
bracelet	207	1754	BRACELET	2
brain	208	1583	BRAIN	2
branch	209	3223	BRANCH OR TWIG	2
brave	210	3	BRAVE	2
break	211	680	BREAK (DESTROY OR GET DESTROYED)	2
break (intr.)	212	3020	BREAK (BREAKING)	4
break off (intr.)	213	588	BROKEN	
break off (tr.)	214	681	DESTROY	
break rules	215	3813	DISOBEDIENT	
breast	216	1402	BREAST	2
breast milk	217	3912	BREAST MILK	4
breastbone	218	2810	BREASTBONE	2
breastfeed	219	2472	SUCKLE (BREASTFEED, NURSE)	4
breath	220	870	BREATH	2
breathe	221	1407	BREATHE	2
brew	222			
bridge	223	1011	BRIDGE	2
bright	224	679	BRIGHT	2
bring	225	692	BRING	2
bring up (child)	226	2134	RAISE (BRING UP)	4
broken	227	588	BROKEN	2
broken (separated)	228	3191	BROKEN (SHATTERED)	4
broom	229	245	BROOM	2
brother	230	1262	BROTHER	2
bubble up (hot water)	231	792	BOIL (OF LIQUID)	4
bud	232	1684	BUD	2
bullet	233	1114	BULLET	2
bumblebee	234			
bump into	235			
bun (hair)	236			
bundle	237	2943	BUNDLE	2
burn (intr.)	238	1428	BURNING	2
burn (tr.)	239	141	BURN (SOMETHING)	2
bury	240	1719	BURY	2
bush	241	1683	BUSH	2
but	242	3843	BUT	2
butterfly	243	1791	BUTTERFLY	2
buttocks	244	834	BUTTOCKS	2
buttress root	245			
by (near)	246	1942	NEAR	
cage	247	3283	CAGE	2
cake	248	2408	CAKE	2
calf	249	1989	CALF	2
call	250	1084	CALL	2
calm	251	258	CALM	2
can	252	972	BE ABLE	2
canal (small)	253	2002	DITCH	4
cannon	254	3202	CANNON	2
care for spouse of deceased	255			
carrion	256	767	CORPSE	
carry on back	257	465	CARRY ON BACK	2
carry on hip	258	1448	HOLD	
carry on shoulders with a carrying pole	259	3438	CARRY (WITH POLE ON SHOULDER)	
carve	260	228	CARVE	2
cassava/yam/tuber	261	925	CASSAVA	4
cassava/yam/tuber (Manihot utilissima)	262	925	CASSAVA	4
cast rope	263			
casting net	264			
castrated	265	29	GELD	
cat	266	1208	CAT	2
catch	267	702	CATCH	2
catch (water)	268	697	CONTAIN	
caterpillar	269	2247	CATERPILLAR	2
cause of disease	270			
ceiling beam	271	1132	BEAM	
centipede	272	1974	CENTIPEDE	2
certain	273	509	CERTAIN	2
chalk	274	2540	LIME (MATERIAL)	
change	275	2856	CHANGE (SOMETHING)	
chaotic	276	1083	MESS	4
charcoal	277	1188	CHARCOAL	2
chase (away)	278	30	DISPEL	4
cheap	279	1887	CHEAP	2
cheek	280	1730	CHEEK	2
chew	281	321	CHEW	2
chicken	282	1318	CHICKEN	2
chili	283	919	CHILI PEPPER	2
chin	284	1510	CHIN	2
Chinese	285	3373	HAN CHINESE	2
chirp	286			
chisel (n.)	287	1979	CHISEL	1
choose	288	1750	CHOOSE	2
chop (up)	289	155	CHOP	4
cigarette	290	969	CIGARETTE	2
cigarette paper	291			
citrus	292			
civet	293	3157	CIVET	2
clan head	294	301	CHIEFTAIN	
clay	295	1399	CLAY	2
clean (a.)	296	704	CLEAN	4
clean burned wood	297			
clear	298	3710	CLEAR (TO SEE)	2
clearing (in forest)	299	2284	CLEARING	4
clever	300	1310	CLEVER	2
cliff	301	992	CLIFF	2
climb	302	1102	CLIMB	2
climb up tree	303	1102	CLIMB	
clitoris	304	3257	CLITORIS	2
clobber	305	354	POUND	
clock	306	1323	CLOCK	2
close (v.)	307	1046	SHUT	3
close eyes	308	2063	CLOSE (EYES)	
closed	309	589	CLOSED	2
cloth	310	1616	CLOTH	2
clothes (general)	311	1895	CLOTHES	4
clothes (lower)	312	1895	CLOTHES	4
clothes (upper or lower)	313	1895	CLOTHES	4
clothes (upper)	314	1895	CLOTHES	2
cloud	315	1489	CLOUD	2
cloudy	316	2341	CLOUDY	2
clove	317	2000	CLOVE	2
coast	318	1525	COAST	2
coccyx	319			
cockroach	320	1575	COCKROACH	2
coconut	321	970	COCONUT	2
coconut (young)	322	970	COCONUT	4
coconut milk	323			
coconut seed	324			
coconut shell	325			
coconut tree	326	147	COCONUT TREE	2
coconut water	327			
cold (a.)	328	1287	COLD	2
cold (n.)	329	2932	COLD (CHILL)	1
collapse	330	1280	FALL	
colourful	331	2997	COLORFUL	2
comb (n.)	332	1475	COMB	1
comb (v.)	333	2070	COMB (VERB)	1
come	334	1446	COME	2
come here!	335	3555	COME HERE	2
come out	336	1107	GO OUT	2
commit adultery	337	902	ADULTERY	
completely	338			
concerning	339			
conduct (n.)	340	3111	CONDUCT	4
confess	341	2022	ADMIT	4
confused	342	3858	CONFUSED	2
connected	343			
content	344	3967	CONTENT	2
cook	345	1100	COOK (SOMETHING)	2
cooking banana	346	868	BANANA	
cool down	347	3068	COOL DOWN	4
copper	348	1825	COPPER	2
copulate	349	549	COPULATE	2
coral	350	3179	CORAL ROCK	2
coral bridge	351	1011	BRIDGE	
coral reef	352	660	REEF	
core family	353	194	FAMILY	
corner	354	192	CORNER	2
corpse	355	767	CORPSE	2
correct	356	1725	CORRECT (RIGHT)	2
cotton	357	1850	COTTON	2
cough	358	3913	COUGH (ACT OF COUGHING)	2
count	359	1420	COUNT	2
cousin	360	1643	COUSIN	2
cover (v.)	361	761	COVER	1
cow	362	1007	COW	2
crab (beach)	363	2348	CRAB	4
crab (land)	364	2348	CRAB	4
crab (saltwater)	365	2348	CRAB	4
crab (shore)	366	2348	CRAB	4
crack open	367	3080	SPLIT OPEN	4
cramp	368			
cramped	369	1414	SQUEEZE	
crawl	370	96	CRAWL	2
crazy	371	1899	MAD	2
cricket	372	2354	CRICKET	2
crippled	373	320	LAME	4
crocodile	374	1857	CROCODILE	2
crooked	375	297	CROOKED	2
crop (bird)	376	611	HARVEST	4
cross (v.)	377	574	TRANSIT	1
crowbar (wooden)	378	1361	TOOL	
crowded	379	2517	CROWDED	2
crush	380	1520	CRUSH	2
cry (weep)	381	1839	CRY	2
cultivate a field	382	1541	CULTIVATE	
culture hero	383			
cup	384	476	CUP	2
cup (porcelain)	385	476	CUP	4
cured	386	1978	RECOVER	
current (n.)	387	2935	CURRENT (STREAM)	3
currently	388	1376	NOW	
curse (v.)	389	8	CURSE	1
cut	390	1432	CUT	2
cut down	391	355	CUT DOWN	2
cut down grass	392	355	CUT DOWN	
cut off	393	1437	SPLIT	
cut twigs	394	1432	CUT	
dance (n.)	395	3472	DANCE (MOVEMENT)	1
dance (v.)	396	1879	DANCE	1
dare	397	1779	DARE	2
dark	398	706	DARK	2
date (v.)	399	3801	DATE (FRUIT)	4
daughter-in-law	400	1057	DAUGHTER-IN-LAW	2
dawn	401	729	DAWN	2
day	402	1260	DAY (24 HOURS)	2
day after tomorrow	403	1179	DAY AFTER TOMORROW	2
day before yesterday	404	1180	DAY BEFORE YESTERDAY	2
daydream	405			
daylight	406	1225	DAY (NOT NIGHT)	2
deaf	407	996	DEAF	2
death	408	910	DEATH	2
debt	409	1914	DEBT	2
deceive	410	3230	DECEIVE	2
deep	411	1593	DEEP	2
deep blue	412		BLUE	
deep sea	413	1474	SEA	
deer	414	1936	DEER	2
defend	415	1330	DEFEND	2
delete	416			
deliberately	417	1162	INTENTION	
delimited	418			
deliver message	419	1127	SEND	
demon	420	1973	DEMON	2
dense (forest)	421	2239	DENSE	4
deny	422	755	DENY	2
depart	423	1752	LEAVE	2
departure	424			
descend	425	2014	GO DOWN (DESCEND)	2
deserted	426			
destroyed	427	680	BREAK (DESTROY OR GET DESTROYED)	
devil	428	3917	DEVIL	2
dew	429	1977	DEW	2
diarrhea	430	1177	DIARRHEA	2
dibber	431			
dibble	432	3155	DIBBLE STICK	
difference	433			
difficult	434	584	DIFFICULT	2
dig	435	1418	DIG	2
dig a hole	436	1418	DIG	
dig out a hole	437	1418	DIG	
diligent	438	2077	DILIGENT	2
Dillenia tree	439	906	TREE	
dim (a.)	440	706	DARK	4
dingy	441	1230	DIRTY	
direction	442	3427	DIRECTION	2
dirty	443	1230	DIRTY	2
disgusting	444	2507	DISGUSTING	2
dislike	445	1607	HATE	
district	446	1300	COUNTRY	4
dive	447	119	DIVE	2
divided (math)	448	1119	DIVIDE	
divorce	449	1134	DIVORCE	2
divorced	450	3672	DIVORCE (SEPARATE)	
dizzy	451	2712	GET DIZZY	4
dog	452	2009	DOG	2
don't know	453			
don't you!	454	2660	DO NOT DO IT	
door	455	1567	DOOR	2
door jamb	456	80	DOORPOST	
double (v.)	457	1546	TWICE	4
doubt	458	1308	DOUBT	2
downstream	459			
dowry	460	3168	DOWRY	2
draw water	461	1911	DRAW (WATER)	2
dream (n.)	462	2374	DREAM	1
dream (v.)	463	1920	DREAM (SOMETHING)	1
drip	464	808	DRIP (FALL IN GLOBULES)	2
drizzle	465	1016	DRIZZLE	2
drop	466	2866	DROP (SOMETHING)	2
drunk	467	1463	DRUNK	2
dry (a.)	468	1398	DRY	2
dry (v.)	469	1786	DRY UP	3
dry over fire	470	1786	DRY UP	
dry season	471	452	DRY SEASON	2
dull	472	905	BORING	2
dun	473	1828	ASK (REQUEST)	
dusk	474	2297	DUSK	2
dust	475	2	DUST	2
dwarf	476			
eagle	477	1905	EAGLE	2
earlier	478	1882	BEFORE	
early evening	479	1629	EVENING	4
earring	480	770	EARRING	2
earth, soil	481	1228	EARTH (SOIL)	2
earthquake	482	6	EARTHQUAKE	2
earthworm	483	2350	EARTHWORM	2
ease off	484	2864	DECREASE	
east	485	1877	EAST	2
easy	486	686	EASY	2
edge	487	863	EDGE	2
eel	488	1013	FRESHWATER EEL	2
egg	489	744	EGG	2
eggplant	490	1146	AUBERGINE	2
eight hundred	491	3519	EIGHT HUNDRED	2
eighteen	492	1713	EIGHTEEN	2
eighty	493	1722	EIGHTY	2
elbow	494	981	ELBOW	2
eleven	495	1706	ELEVEN	2
embark (ship)	496	1752	LEAVE	
embarrassed	497	3805	SHY OR ASHAMED	
emerge in water	498	1076	EMERGE (APPEAR)	
empty	499	1624	EMPTY	2
enclosure	500	1690	FENCE	4
end (v.)	501	1766	FINISH	3
ending	502	743	END (OF TIME)	
enemy	503	1358	ENEMY	2
Enggano Island	504	622	ISLAND	
Enggano person	505	1549	TRIBE	
enough	506	1881	ENOUGH	2
enter	507	749	ENTER	2
equal	508	1570	EQUAL	2
equal (v.)	509	1570	EQUAL	4
erect (house)	510	1840	BUILD	
erupt	511	3112	ERUPT	2
escape	512	1615	ESCAPE	2
estuary	513	2286	ESTUARY	2
even (number)	514	1633	FLAT	4
evening	515	1629	EVENING	2
evening star	516	3341	EVENING STAR	2
every now and then	517	1544	SOMETIMES	
everywhere	518	2999	EVERYWHERE	2
evil	519	45	EVIL	2
exaggerate	520			
examine	521	1819	LOOK	4
example	522			
exchange	523	2509	EXCHANGE	2
exist	524	1579	BE	2
expensive	525	1426	EXPENSIVE	2
extend	526	3700	LENGTHEN	
extinguish (fire)	527	127	EXTINGUISH	4
eye abscess	528	793	BOIL (OF SKIN)	
eyebrow	529	1173	EYEBROW	2
eyelashes	530	1540	EYELASH	2
eyelid	531	17	EYELID	2
eyelid dermatitis	532	1986	DISEASE	
face	533	1560	FACE	2
face down	534			
face outwards	535			
fall	536	1280	FALL	2
fall out (teeth)	537	2894	TUMBLE (FALL DOWN)	
family	538	194	FAMILY	2
family (plants)	539	194	FAMILY	4
far	540	1406	FAR	2
farmer	541	979	FARMER	2
fart (n.)	542	1159	FART	4
fasten	543	1094	FASTEN	2
fat (a.)	544	1279	FAT (OBESE)	4
fat (n.)	545	2449	FAT (OF MEAT AND FOOD)	1
fear (v.)	546	1419	FEAR (BE AFRAID)	1
feather	547	1201	FEATHER	2
feces	548	675	FAECES (EXCREMENT)	2
feel	549	1079	FEEL	2
feel sick	550	1847	SICK	4
feel/sense	551	2521	FEELING (HAPTIC SENSE)	4
feeling	552	2573	FEELING (EMOTION)	2
fell (high-stemmed trees)	553	355	CUT DOWN	4
fell (low-stemmed trees)	554	355	CUT DOWN	4
fence	555	1690	FENCE	2
fence (small)	556	1690	FENCE	4
fern	557	3802	FERN	2
fever	558	1534	FEVER	2
few	559	1242	FEW	2
fiber	560	1161	THREAD	4
fiber (leaf)	561	1161	THREAD	4
field	562	212	FIELD	2
fierce	563	2230	UNTAMED OR WILD	4
fight (n.)	564	3880	FIGHT (COMBAT)	3
fight (v.)	565	1423	FIGHT	1
fight against	566	3880	FIGHT (COMBAT)	
fighting cock	567	1511	ROOSTER	
file (tool)	568	3407	FILE (TOOL)	2
fill	569	2006	FILL	2
filth	570	25	DIRT	2
finally	571	1529	LAST (FINAL)	
find	572	719	FIND	2
fine (a.)	573	1234	SMOOTH	4
fine (penalty)	574	218	FINE (PENALTY)	2
finger bowl	575	2053	SMALL BOWL	
finger coral	576	3179	CORAL ROCK	
fingernail	577	1258	FINGERNAIL	2
finished	578	1766	FINISH	
fireplace	579	185	FIREPLACE	2
firewood	580	10	FIREWOOD	2
first	581	728	FIRST	2
firstborn	582			
fish (v.)	583	2638	FISHING	1
fishbone	584	3799	FISHBONE	2
fishhook	585	1074	FISHHOOK	2
fishing net	586	388	FISHNET	2
fishing rod	587	1071	HOOK	
fist	588	1473	FIST	2
five hundred	589	3516	FIVE HUNDRED	2
fixed	590			
flag (n.)	591	2623	FLAG	3
flame	592	889	FLAME	2
flannell	593	1616	CLOTH	
flat (a.)	594	1633	FLAT	4
flat land	595	626	LAND	
flavour	596	2190	TASTE	2
flea	597	232	FLEA	2
flesh	598	2615	FLESH OR MEAT	2
flirt	599	494	FLIRT	2
float	600	1574	FLOAT	2
flood	601	613	HIGH TIDE	2
floor	602	1632	FLOOR	2
floor beam	603	1132	BEAM	
flour	604	1594	FLOUR	2
flow	605	2003	FLOW	2
flower	606	239	FLOWER	2
flu	607	102	COMMON COLD (DISEASE)	
flute	608	777	FLUTE	2
fly (n.)	609	1504	FLY (INSECT)	1
fly (v.)	610	1441	FLY (MOVE THROUGH AIR)	1
foam	611	1768	FOAM	2
fold	612	1470	FOLD	2
follow	613	1085	FOLLOW	2
food	614	256	FOOD	2
footstep	615	318	FOOTPRINT	2
for nothing	616	1765	IN VAIN	
forbidden	617			
forehead	618	123	FOREHEAD	2
foreign	619	109	FOREIGN	2
foreigner	620	1782	GUEST	
forest	621	420	FOREST	2
forge	622	288	FORGE	2
forget	623	1523	FORGET	2
form (n.)	624	3747	SHAPE	4
former	625	3004	FORMER	2
fortification	626	1938	FORTRESS	
forty	627	1716	FORTY	2
four hundred	628	3515	FOUR HUNDRED	2
fourteen	629	2451	FOURTEEN	2
fragrance	630	376	FRAGRANT	
fragrant	631	376	FRAGRANT	2
